,Organism/Name,Strain,Refseq
0,Streptococcus mitis B6,B6,NC_013853.1
1,Streptococcus mitis,KCOM 1350 (= ChDC B183),NZ_CP012646.1
2,Streptococcus mitis,SVGS_061,NZ_CP014326.1
