,Sample_ID,Run_ID,Release_version,Sex,Body_site
1473,SRS482681,SRR995139,2.0,male ,retroauricular crease 
1482,SRS482686,SRR995100,2.0,male ,retroauricular crease 
1483,SRS482686,SRR995144,2.0,male ,retroauricular crease 
1520,SRS482705,SRR995119,2.0,male ,retroauricular crease 
1521,SRS482705,SRR995163,2.0,male ,retroauricular crease 
1558,SRS482769,SRR995272,2.0,male ,retroauricular crease 
1559,SRS482769,SRR995280,2.0,male ,retroauricular crease 
1564,SRS482772,SRR995275,2.0,male ,retroauricular crease 
1565,SRS482772,SRR995283,2.0,male ,retroauricular crease 
1614,SRS482797,SRR995308,2.0,male ,retroauricular crease 
1615,SRS482797,SRR995376,2.0,male ,retroauricular crease 
1616,SRS482798,SRR995309,2.0,male ,retroauricular crease 
1617,SRS482798,SRR995377,2.0,male ,retroauricular crease 
1618,SRS482799,SRR995310,2.0,male ,retroauricular crease 
1619,SRS482799,SRR995378,2.0,male ,retroauricular crease 
1620,SRS482800,SRR995311,2.0,male ,retroauricular crease 
1621,SRS482800,SRR995379,2.0,male ,retroauricular crease 
1622,SRS482801,SRR995312,2.0,male ,retroauricular crease 
1623,SRS482801,SRR995380,2.0,male ,retroauricular crease 
1624,SRS482802,SRR995313,2.0,male ,retroauricular crease 
1625,SRS482802,SRR995381,2.0,male ,retroauricular crease 
1626,SRS482803,SRR995314,2.0,male ,retroauricular crease 
1627,SRS482803,SRR995382,2.0,male ,retroauricular crease 
1628,SRS482804,SRR995315,2.0,male ,retroauricular crease 
1629,SRS482804,SRR995383,2.0,male ,retroauricular crease 
1686,SRS482833,SRR995344,2.0,male ,retroauricular crease 
1687,SRS482833,SRR995412,2.0,male ,retroauricular crease 
1688,SRS482834,SRR995345,2.0,male ,retroauricular crease 
1689,SRS482834,SRR995413,2.0,male ,retroauricular crease 
1690,SRS482835,SRR995346,2.0,male ,retroauricular crease 
1691,SRS482835,SRR995414,2.0,male ,retroauricular crease 
1692,SRS482836,SRR995347,2.0,male ,retroauricular crease 
1693,SRS482836,SRR995415,2.0,male ,retroauricular crease 
1694,SRS482837,SRR995348,2.0,male ,retroauricular crease 
1695,SRS482837,SRR995416,2.0,male ,retroauricular crease 
1696,SRS482838,SRR995349,2.0,male ,retroauricular crease 
1697,SRS482838,SRR995417,2.0,male ,retroauricular crease 
1698,SRS482839,SRR995350,2.0,male ,retroauricular crease 
1699,SRS482839,SRR995418,2.0,male ,retroauricular crease 
1700,SRS482840,SRR995351,2.0,male ,retroauricular crease 
1701,SRS482840,SRR995419,2.0,male ,retroauricular crease 
1730,SRS482871,SRR995466,2.0,male ,retroauricular crease 
1731,SRS482871,SRR995480,2.0,male ,retroauricular crease 
1732,SRS482872,SRR995467,2.0,male ,retroauricular crease 
1733,SRS482872,SRR995481,2.0,male ,retroauricular crease 
1734,SRS482873,SRR995482,2.0,male ,retroauricular crease 
1735,SRS482873,SRR995485,2.0,male ,retroauricular crease 
1756,SRS482884,SRR995496,2.0,male ,retroauricular crease 
1757,SRS482884,SRR995506,2.0,male ,retroauricular crease 
1758,SRS482885,SRR995497,2.0,male ,retroauricular crease 
1759,SRS482885,SRR995507,2.0,male ,retroauricular crease 
1804,SRS482908,SRR995530,2.0,male ,retroauricular crease 
1805,SRS482908,SRR995562,2.0,male ,retroauricular crease 
1806,SRS482909,SRR995531,2.0,male ,retroauricular crease 
1807,SRS482909,SRR995563,2.0,male ,retroauricular crease 
1808,SRS482910,SRR995532,2.0,male ,retroauricular crease 
1809,SRS482910,SRR995564,2.0,male ,retroauricular crease 
1810,SRS482911,SRR995533,2.0,male ,retroauricular crease 
1811,SRS482911,SRR995565,2.0,male ,retroauricular crease 
1812,SRS482912,SRR995534,2.0,male ,retroauricular crease 
1813,SRS482912,SRR995566,2.0,male ,retroauricular crease 
1814,SRS482913,SRR995535,2.0,male ,retroauricular crease 
1815,SRS482913,SRR995567,2.0,male ,retroauricular crease 
1816,SRS482914,SRR995536,2.0,male ,retroauricular crease 
1817,SRS482914,SRR995568,2.0,male ,retroauricular crease 
1818,SRS482915,SRR995537,2.0,male ,retroauricular crease 
1819,SRS482915,SRR995569,2.0,male ,retroauricular crease 
1858,SRS482938,SRR995602,2.0,male ,retroauricular crease 
1859,SRS482938,SRR995652,2.0,male ,retroauricular crease 
1932,SRS482975,SRR995689,2.0,male ,retroauricular crease 
1933,SRS482975,SRR995724,2.0,male ,retroauricular crease 
1952,SRS482985,SRR995699,2.0,male ,retroauricular crease 
1953,SRS482985,SRR995734,2.0,male ,retroauricular crease 
1962,SRS482990,SRR995704,2.0,male ,retroauricular crease 
1963,SRS482990,SRR995739,2.0,male ,retroauricular crease 
1982,SRS483000,SRR995714,2.0,male ,retroauricular crease 
1983,SRS483000,SRR995749,2.0,male ,retroauricular crease 
1992,SRS483005,SRR995719,2.0,male ,retroauricular crease 
1993,SRS483005,SRR995754,2.0,male ,retroauricular crease 
2070,SRS483114,SRR995933,2.0,male ,retroauricular crease 
2071,SRS483114,SRR996007,2.0,male ,retroauricular crease 
2080,SRS483119,SRR995938,2.0,male ,retroauricular crease 
