,Sample_ID,Run_ID,Release_version,Sex,Body_site
1535,SRS482712,SRR995170,2.0,female ,antecubital fossa 
1536,SRS482713,SRR995127,2.0,female ,antecubital fossa 
1537,SRS482713,SRR995171,2.0,female ,antecubital fossa 
1544,SRS482717,SRR995131,2.0,female ,antecubital fossa 
1545,SRS482717,SRR995175,2.0,female ,antecubital fossa 
1634,SRS482807,SRR995318,2.0,female ,antecubital fossa 
1635,SRS482807,SRR995386,2.0,female ,antecubital fossa 
1638,SRS482809,SRR995320,2.0,female ,antecubital fossa 
1639,SRS482809,SRR995388,2.0,female ,antecubital fossa 
1706,SRS482859,SRR995454,2.0,female ,antecubital fossa 
1707,SRS482859,SRR995468,2.0,female ,antecubital fossa 
1708,SRS482860,SRR995455,2.0,female ,antecubital fossa 
1709,SRS482860,SRR995469,2.0,female ,antecubital fossa 
1868,SRS482943,SRR995606,2.0,female ,antecubital fossa 
1869,SRS482943,SRR995656,2.0,female ,antecubital fossa 
1870,SRS482944,SRR995608,2.0,female ,antecubital fossa 
1871,SRS482944,SRR995658,2.0,female ,antecubital fossa 
1874,SRS482946,SRR995610,2.0,female ,antecubital fossa 
1875,SRS482946,SRR995660,2.0,female ,antecubital fossa 
1878,SRS482948,SRR995612,2.0,female ,antecubital fossa 
1879,SRS482948,SRR995662,2.0,female ,antecubital fossa 
1882,SRS482950,SRR995614,2.0,female ,antecubital fossa 
1883,SRS482950,SRR995664,2.0,female ,antecubital fossa 
1902,SRS482960,SRR995624,2.0,female ,antecubital fossa 
1903,SRS482960,SRR995674,2.0,female ,antecubital fossa 
1906,SRS482962,SRR995626,2.0,female ,antecubital fossa 
1907,SRS482962,SRR995676,2.0,female ,antecubital fossa 
1910,SRS482964,SRR995628,2.0,female ,antecubital fossa 
1911,SRS482964,SRR995678,2.0,female ,antecubital fossa 
1936,SRS482977,SRR995691,2.0,female ,antecubital fossa 
1937,SRS482977,SRR995726,2.0,female ,antecubital fossa 
1938,SRS482978,SRR995692,2.0,female ,antecubital fossa 
1939,SRS482978,SRR995727,2.0,female ,antecubital fossa 
1966,SRS482992,SRR995706,2.0,female ,antecubital fossa 
1967,SRS482992,SRR995741,2.0,female ,antecubital fossa 
1968,SRS482993,SRR995707,2.0,female ,antecubital fossa 
1969,SRS482993,SRR995742,2.0,female ,antecubital fossa 
1996,SRS483077,SRR995896,2.0,female ,antecubital fossa 
1997,SRS483077,SRR995970,2.0,female ,antecubital fossa 
1998,SRS483078,SRR995897,2.0,female ,antecubital fossa 
1999,SRS483078,SRR995971,2.0,female ,antecubital fossa 
2006,SRS483082,SRR995901,2.0,female ,antecubital fossa 
2007,SRS483082,SRR995975,2.0,female ,antecubital fossa 
2008,SRS483083,SRR995902,2.0,female ,antecubital fossa 
2009,SRS483083,SRR995976,2.0,female ,antecubital fossa 
2016,SRS483087,SRR995907,2.0,female ,antecubital fossa 
2017,SRS483087,SRR995981,2.0,female ,antecubital fossa 
2018,SRS483088,SRR995906,2.0,female ,antecubital fossa 
2019,SRS483088,SRR995980,2.0,female ,antecubital fossa 
2026,SRS483092,SRR995911,2.0,female ,antecubital fossa 
2027,SRS483092,SRR995985,2.0,female ,antecubital fossa 
2028,SRS483093,SRR995912,2.0,female ,antecubital fossa 
2029,SRS483093,SRR995986,2.0,female ,antecubital fossa 
2036,SRS483097,SRR995916,2.0,female ,antecubital fossa 
2037,SRS483097,SRR995990,2.0,female ,antecubital fossa 
2038,SRS483098,SRR995917,2.0,female ,antecubital fossa 
2039,SRS483098,SRR995991,2.0,female ,antecubital fossa 
2044,SRS483101,SRR995920,2.0,female ,antecubital fossa 
2045,SRS483101,SRR995994,2.0,female ,antecubital fossa 
2046,SRS483102,SRR995921,2.0,female ,antecubital fossa 
2047,SRS483102,SRR995995,2.0,female ,antecubital fossa 
2054,SRS483106,SRR995925,2.0,female ,antecubital fossa 
2055,SRS483106,SRR995999,2.0,female ,antecubital fossa 
2056,SRS483107,SRR995926,2.0,female ,antecubital fossa 
2057,SRS483107,SRR996000,2.0,female ,antecubital fossa 
2150,SRS483154,SRR996047,2.0,female ,antecubital fossa 
2151,SRS483154,SRR996115,2.0,female ,antecubital fossa 
2156,SRS483157,SRR996050,2.0,female ,antecubital fossa 
2157,SRS483157,SRR996118,2.0,female ,antecubital fossa 
2158,SRS483158,SRR996051,2.0,female ,antecubital fossa 
2159,SRS483158,SRR996119,2.0,female ,antecubital fossa 
2160,SRS483159,SRR996052,2.0,female ,antecubital fossa 
2161,SRS483159,SRR996120,2.0,female ,antecubital fossa 
2162,SRS483160,SRR996053,2.0,female ,antecubital fossa 
2163,SRS483160,SRR996121,2.0,female ,antecubital fossa 
2166,SRS483162,SRR996055,2.0,female ,antecubital fossa 
2167,SRS483162,SRR996123,2.0,female ,antecubital fossa 
2168,SRS483163,SRR996056,2.0,female ,antecubital fossa 
2169,SRS483163,SRR996124,2.0,female ,antecubital fossa 
2170,SRS483164,SRR996057,2.0,female ,antecubital fossa 
2171,SRS483164,SRR996125,2.0,female ,antecubital fossa 
