,Sample_ID,Run_ID,Release_version,Sex,Body_site
1239,SRS482552,SRR994865,2.0,male ,volar forearm 
1374,SRS482632,SRR994970,2.0,male ,volar forearm 
1375,SRS482632,SRR995019,2.0,male ,volar forearm 
1376,SRS482633,SRR994971,2.0,male ,volar forearm 
1377,SRS482633,SRR995020,2.0,male ,volar forearm 
1406,SRS482648,SRR994986,2.0,male ,volar forearm 
1407,SRS482648,SRR995035,2.0,male ,volar forearm 
1408,SRS482649,SRR994987,2.0,male ,volar forearm 
1409,SRS482649,SRR995036,2.0,male ,volar forearm 
1456,SRS482673,SRR995060,2.0,male ,volar forearm 
1457,SRS482673,SRR995087,2.0,male ,volar forearm 
1470,SRS482680,SRR995094,2.0,male ,volar forearm 
1471,SRS482680,SRR995138,2.0,male ,volar forearm 
1478,SRS482684,SRR995099,2.0,male ,volar forearm 
1479,SRS482684,SRR995143,2.0,male ,volar forearm 
1518,SRS482704,SRR995118,2.0,male ,volar forearm 
1519,SRS482704,SRR995162,2.0,male ,volar forearm 
1566,SRS482773,SRR995276,2.0,male ,volar forearm 
1567,SRS482773,SRR995284,2.0,male ,volar forearm 
1586,SRS482783,SRR995294,2.0,male ,volar forearm 
1587,SRS482783,SRR995362,2.0,male ,volar forearm 
1588,SRS482784,SRR995295,2.0,male ,volar forearm 
1589,SRS482784,SRR995363,2.0,male ,volar forearm 
1590,SRS482785,SRR995296,2.0,male ,volar forearm 
1591,SRS482785,SRR995364,2.0,male ,volar forearm 
1592,SRS482786,SRR995297,2.0,male ,volar forearm 
1593,SRS482786,SRR995365,2.0,male ,volar forearm 
1594,SRS482787,SRR995298,2.0,male ,volar forearm 
1595,SRS482787,SRR995366,2.0,male ,volar forearm 
1596,SRS482788,SRR995299,2.0,male ,volar forearm 
1597,SRS482788,SRR995367,2.0,male ,volar forearm 
1598,SRS482789,SRR995300,2.0,male ,volar forearm 
1599,SRS482789,SRR995368,2.0,male ,volar forearm 
1600,SRS482790,SRR995301,2.0,male ,volar forearm 
1601,SRS482790,SRR995369,2.0,male ,volar forearm 
1658,SRS482819,SRR995330,2.0,male ,volar forearm 
1659,SRS482819,SRR995398,2.0,male ,volar forearm 
1660,SRS482820,SRR995331,2.0,male ,volar forearm 
1661,SRS482820,SRR995399,2.0,male ,volar forearm 
1662,SRS482821,SRR995333,2.0,male ,volar forearm 
1663,SRS482821,SRR995401,2.0,male ,volar forearm 
1664,SRS482822,SRR995332,2.0,male ,volar forearm 
1665,SRS482822,SRR995400,2.0,male ,volar forearm 
1666,SRS482823,SRR995334,2.0,male ,volar forearm 
1667,SRS482823,SRR995402,2.0,male ,volar forearm 
1668,SRS482824,SRR995335,2.0,male ,volar forearm 
1669,SRS482824,SRR995403,2.0,male ,volar forearm 
1670,SRS482825,SRR995336,2.0,male ,volar forearm 
1671,SRS482825,SRR995404,2.0,male ,volar forearm 
1672,SRS482826,SRR995337,2.0,male ,volar forearm 
1673,SRS482826,SRR995405,2.0,male ,volar forearm 
1736,SRS482874,SRR995483,2.0,male ,volar forearm 
1737,SRS482874,SRR995486,2.0,male ,volar forearm 
1738,SRS482875,SRR995484,2.0,male ,volar forearm 
1739,SRS482875,SRR995487,2.0,male ,volar forearm 
1744,SRS482878,SRR995490,2.0,male ,volar forearm 
1745,SRS482878,SRR995500,2.0,male ,volar forearm 
1746,SRS482879,SRR995491,2.0,male ,volar forearm 
1747,SRS482879,SRR995501,2.0,male ,volar forearm 
1776,SRS482894,SRR995516,2.0,male ,volar forearm 
1777,SRS482894,SRR995548,2.0,male ,volar forearm 
1778,SRS482895,SRR995517,2.0,male ,volar forearm 
1779,SRS482895,SRR995549,2.0,male ,volar forearm 
1780,SRS482896,SRR995518,2.0,male ,volar forearm 
1781,SRS482896,SRR995550,2.0,male ,volar forearm 
1782,SRS482897,SRR995519,2.0,male ,volar forearm 
1783,SRS482897,SRR995551,2.0,male ,volar forearm 
1784,SRS482898,SRR995521,2.0,male ,volar forearm 
1785,SRS482898,SRR995553,2.0,male ,volar forearm 
1786,SRS482899,SRR995520,2.0,male ,volar forearm 
1787,SRS482899,SRR995552,2.0,male ,volar forearm 
1788,SRS482900,SRR995522,2.0,male ,volar forearm 
1789,SRS482900,SRR995554,2.0,male ,volar forearm 
1790,SRS482901,SRR995523,2.0,male ,volar forearm 
1791,SRS482901,SRR995555,2.0,male ,volar forearm 
1860,SRS482939,SRR995603,2.0,male ,volar forearm 
1861,SRS482939,SRR995653,2.0,male ,volar forearm 
1888,SRS482953,SRR995617,2.0,male ,volar forearm 
1889,SRS482953,SRR995667,2.0,male ,volar forearm 
1892,SRS482955,SRR995619,2.0,male ,volar forearm 
1893,SRS482955,SRR995669,2.0,male ,volar forearm 
1896,SRS482957,SRR995621,2.0,male ,volar forearm 
1897,SRS482957,SRR995671,2.0,male ,volar forearm 
1898,SRS482958,SRR995623,2.0,male ,volar forearm 
1899,SRS482958,SRR995673,2.0,male ,volar forearm 
1916,SRS482967,SRR995631,2.0,male ,volar forearm 
1917,SRS482967,SRR995681,2.0,male ,volar forearm 
1920,SRS482969,SRR995633,2.0,male ,volar forearm 
1921,SRS482969,SRR995683,2.0,male ,volar forearm 
1924,SRS482971,SRR995635,2.0,male ,volar forearm 
1925,SRS482971,SRR995685,2.0,male ,volar forearm 
1930,SRS482974,SRR995688,2.0,male ,volar forearm 
1931,SRS482974,SRR995723,2.0,male ,volar forearm 
1950,SRS482984,SRR995698,2.0,male ,volar forearm 
1951,SRS482984,SRR995733,2.0,male ,volar forearm 
1960,SRS482989,SRR995703,2.0,male ,volar forearm 
1961,SRS482989,SRR995738,2.0,male ,volar forearm 
1980,SRS482999,SRR995713,2.0,male ,volar forearm 
1981,SRS482999,SRR995748,2.0,male ,volar forearm 
1990,SRS483004,SRR995718,2.0,male ,volar forearm 
1991,SRS483004,SRR995753,2.0,male ,volar forearm 
2068,SRS483113,SRR995932,2.0,male ,volar forearm 
2069,SRS483113,SRR996006,2.0,male ,volar forearm 
2078,SRS483118,SRR995937,2.0,male ,volar forearm 
2079,SRS483118,SRR996011,2.0,male ,volar forearm 
2086,SRS483122,SRR995942,2.0,male ,volar forearm 
2087,SRS483122,SRR996016,2.0,male ,volar forearm 
2098,SRS483128,SRR995947,2.0,male ,volar forearm 
2099,SRS483128,SRR996021,2.0,male ,volar forearm 
2106,SRS483132,SRR995951,2.0,male ,volar forearm 
2107,SRS483132,SRR996025,2.0,male ,volar forearm 
2118,SRS483138,SRR995957,2.0,male ,volar forearm 
2119,SRS483138,SRR996031,2.0,male ,volar forearm 
2126,SRS483142,SRR995961,2.0,male ,volar forearm 
2127,SRS483142,SRR996035,2.0,male ,volar forearm 
2134,SRS483146,SRR995965,2.0,male ,volar forearm 
2135,SRS483146,SRR996039,2.0,male ,volar forearm 
2148,SRS483153,SRR996046,2.0,male ,volar forearm 
2149,SRS483153,SRR996114,2.0,male ,volar forearm 
2182,SRS483170,SRR996063,2.0,male ,volar forearm 
2183,SRS483170,SRR996131,2.0,male ,volar forearm 
2190,SRS483174,SRR996067,2.0,male ,volar forearm 
2191,SRS483174,SRR996135,2.0,male ,volar forearm 
2198,SRS483178,SRR996071,2.0,male ,volar forearm 
2199,SRS483178,SRR996139,2.0,male ,volar forearm 
2208,SRS483183,SRR996076,2.0,male ,volar forearm 
2209,SRS483183,SRR996144,2.0,male ,volar forearm 
2216,SRS483187,SRR996080,2.0,male ,volar forearm 
2217,SRS483187,SRR996148,2.0,male ,volar forearm 
2224,SRS483191,SRR996084,2.0,male ,volar forearm 
2225,SRS483191,SRR996152,2.0,male ,volar forearm 
2244,SRS483201,SRR996093,2.0,male ,volar forearm 
2245,SRS483201,SRR996161,2.0,male ,volar forearm 
2252,SRS483205,SRR996098,2.0,male ,volar forearm 
2253,SRS483205,SRR996166,2.0,male ,volar forearm 
2272,SRS483215,SRR996108,2.0,male ,volar forearm 
2273,SRS483215,SRR996176,2.0,male ,volar forearm 
2280,SRS483219,SRR996180,2.0,male ,volar forearm 
2281,SRS483219,SRR996232,2.0,male ,volar forearm 
2282,SRS483220,SRR996181,2.0,male ,volar forearm 
2283,SRS483220,SRR996233,2.0,male ,volar forearm 
2284,SRS483221,SRR996182,2.0,male ,volar forearm 
2285,SRS483221,SRR996234,2.0,male ,volar forearm 
2286,SRS483222,SRR996183,2.0,male ,volar forearm 
2287,SRS483222,SRR996235,2.0,male ,volar forearm 
2288,SRS483223,SRR996184,2.0,male ,volar forearm 
2289,SRS483223,SRR996236,2.0,male ,volar forearm 
2290,SRS483224,SRR996185,2.0,male ,volar forearm 
2291,SRS483224,SRR996237,2.0,male ,volar forearm 
