Sample_ID,Run_ID,Release_version,Sex,Body_site
SRS452109,SRR921045,2.0,male ,nare 
SRS482841,SRR995352,2.0,male ,nare 
SRS451617,SRR919888,2.0,male ,occiput 
SRS451447,SRR919557,2.0,male ,occiput 
SRS452054,SRR920927,2.0,male ,occiput 
SRS451723,SRR920125,2.0,male ,occiput 
SRS452140,SRR921140,2.0,male ,occiput 
SRS451929,SRR920728,2.0,male ,plantar heel 
SRS451882,SRR920680,2.0,male ,plantar heel 
SRS452102,SRR921101,2.0,male ,plantar heel 
SRS452110,SRR921109,2.0,male ,plantar heel 
SRS452143,SRR921079,2.0,male ,plantar heel 
SRS483216,SRR996177,2.0,male ,popliteal fossa 
SRS482830,SRR995340,2.0,male ,popliteal fossa 
SRS482383,SRR994523,2.0,male ,popliteal fossa 
SRS482377,SRR994447,2.0,male ,popliteal fossa 
SRS483610,SRR997084,2.0,male ,popliteal fossa 
SRS483535,SRR996864,2.0,male ,retroauricular crease 
SRS482681,SRR995095,2.0,male ,retroauricular crease 
SRS482482,SRR994622,2.0,male ,retroauricular crease 
SRS482798,SRR995309,2.0,male ,retroauricular crease 
SRS483207,SRR996100,2.0,male ,retroauricular crease 
SRS451624,SRR919945,2.0,male ,toenail 
SRS452088,SRR921024,2.0,male ,toenail 
SRS452087,SRR921023,2.0,male ,toenail 
SRS451891,SRR920688,2.0,male ,toenail 
SRS452064,SRR920937,2.0,male ,toenail 
SRS452085,SRR920957,2.0,male ,toeweb 
SRS452060,SRR920932,2.0,male ,toeweb 
SRS451933,SRR920644,2.0,male ,toeweb 
SRS451434,SRR919604,2.0,male ,toeweb 
SRS451885,SRR920597,2.0,male ,toeweb 
SRS483601,SRR996990,2.0,male ,volar forearm 
SRS483506,SRR996895,2.0,male ,volar forearm 
SRS482380,SRR994520,2.0,male ,volar forearm 
SRS483429,SRR996670,2.0,male ,volar forearm 
SRS483386,SRR996495,2.0,male ,volar forearm 
