#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Corynebacterium kroppenstedtii DSM 44385","DSM 44385",20803,SAMN02603033 ,PRJNA38011,"Terrabacteria group","Actinobacteria",GCA_000023145.1 ,2.4468,57.5,chromosome:NC_012704.1/CP001620.1,-,1,2088,1999,2009/05/19,2017/04/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/145/GCF_000023145.1_ASM2314v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/145/GCA_000023145.1_ASM2314v1
"Corynebacterium kroppenstedtii","DNF00591",20803,SAMN03842619 ,PRJNA246505,"Terrabacteria group","Actinobacteria",GCA_001552955.1 ,2.53574,56.8,-,LSCY01,9,2149,2065,2016/02/08,2017/04/11,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/552/955/GCF_001552955.1_ASM155295v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/552/955/GCA_001552955.1_ASM155295v1
"Corynebacterium kroppenstedtii","ITA105",20803,SAMN03333058 ,PRJNA274824,"Terrabacteria group","Actinobacteria",GCA_000971845.1 ,2.57461,56.8,-,JYCR01,33,2231,2065,2015/04/15,2017/04/10,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/845/GCF_000971845.1_Corkro_ITA105.1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/845/GCA_000971845.1_Corkro_ITA105.1.0
"Corynebacterium kroppenstedtii","ITA205",20803,SAMN03333293 ,PRJNA274886,"Terrabacteria group","Actinobacteria",GCA_000971855.1 ,2.51438,56.9,-,JYDD01,14,2136,2010,2015/04/15,2017/04/10,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/855/GCF_000971855.1_Corkro_ITA205.1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/855/GCA_000971855.1_Corkro_ITA205.1.0
"Corynebacterium kroppenstedtii","UMB0869",20803,SAMN07511398 ,PRJNA316969,"Terrabacteria group","Actinobacteria",GCA_002871755.1 ,2.51626,56.9,-,PNHH01,22,2135,2057,2018/01/10,2018/01/13,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/871/755/GCF_002871755.1_ASM287175v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/871/755/GCA_002871755.1_ASM287175v1
"Corynebacterium kroppenstedtii","S2_003_000_R1_3",-,SAMN07426503 ,PRJNA376580,"Terrabacteria group","Actinobacteria",GCA_003243515.1 ,2.50701,56.8,-,QFRA01,86,2243,2060,2018/06/18,2018/06/18,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/243/515/GCA_003243515.1_ASM324351v1
