,Organism/Name,Strain,Refseq
0,Staphylococcus capitis subsp. capitis,AYP1020,NZ_CP007601.1
1,Staphylococcus capitis,TW2795,NZ_AP014956.1
2,Staphylococcus capitis,FDAARGOS_378,NZ_CP023966.1
