No,Sample_ID,Run_ID,Release_version,Sex,Body_site
13,SRS451615,SRR919936,2.0,male ,retroauricular crease 
121,SRS482801,SRR995380,2.0,male ,retroauricular crease 
156,SRS482909,SRR995531,2.0,male ,retroauricular crease 
50,SRS482491,SRR994714,2.0,male ,retroauricular crease 
219,SRS483217,SRR996178,2.0,male ,retroauricular crease 
