No,Sample_ID,Run_ID,Release_version,Sex,Body_site
409,SRS451880,SRR920678,2.0,male ,occiput 
779,SRS452140,SRR921140,2.0,male ,occiput 
607,SRS452054,SRR920990,2.0,male ,occiput 
654,SRS452078,SRR920951,2.0,male ,occiput 
60,SRS451447,SRR919557,2.0,male ,occiput 
